Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  0.0001
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------

(0.00040550215770757234 : Eros Airport, Namibia)

(0.00040524661170184787 : Ugnu-Kuparuk Airport, United States)

(0.0004050683568487862 : Hercilio Luz, Brazil)

(0.0004050237038892978 : Sola, Norway)

(0.0004043235896750935 : Kaohsiung Intl, Taiwan)

(0.0004041027638284548 : Governador Jorge Teixeira De Oliveira, Brazil)

(0.0004011707907145722 : Madeira, Portugal)

(0.0004009403026578243 : Jose Maria Cordova, Colombia)

(0.00039724470071087706 : Wattay Intl, Laos)

(0.00039712175871742424 : Ahmedabad, India)

(0.00039702366677900943 : Munda Airport, Solomon Islands)

(0.0003952647658622126 : Bandar Abbass Intl, Iran)

(0.00039432229015404457 : Irkutsk, Russia)

(0.0003942748856768964 : Kodiak, United States)

(0.0003902688855670945 : Balice, Poland)

(0.0003900223297439778 : Narsarsuaq, Greenland)

(0.0003890668779196847 : Tokua Airport, Papua New Guinea)

(0.00038862381003052193 : Jersey, Jersey)

(0.000388265538288374 : Manas, Kyrgyzstan)

(0.00038780811149550614 : Ouagadougou, Burkina Faso)

(0.00038765190928938357 : Temindung, Indonesia)

(0.0003864565842660998 : Providenciales, Turks and Caicos Islands)

(0.0003864135079297413 : Santarem, Brazil)

(0.0003858636546545519 : Waskaganish Airport, Canada)

(0.00038541516513961694 : Xining Caojiabu Airport, China)

(0.0003849516651188859 : Fort Yukon, United States)

(0.00038354959647507957 : Zvartnots, Armenia)

(0.0003831780134883154 : Mount Hagen, Papua New Guinea)

(0.00038267355093671795 : Dyce, United Kingdom)

(0.000382224968423991 : Sam Ratulangi, Indonesia)

(0.00037835263499283917 : Campo Dell Oro, France)

(0.00037773769283995517 : Laishan, China)

(0.0003775166040636052 : Talagi, Russia)

(0.0003766226774772198 : Wiley Post Will Rogers Mem, United States)

(0.00037661333063256346 : Pattimura, Indonesia)

(0.0003765301978465861 : La Aurora, Guatemala)

(0.00037526063397201105 : Sangster Intl, Jamaica)

(0.00037511419884685295 : St Petersburg Clearwater Intl, United States)

(0.00037501035696263106 : St Denis Gillot, Reunion)

(0.0003749432077496267 : Prince Mohammad Bin Abdulaziz, Saudi Arabia)

(0.00037386423674957026 : Durban Intl, South Africa)

(0.00037282679099670817 : Pafos Intl, Cyprus)

(0.0003720000775283089 : Bateen, United Arab Emirates)

(0.0003717057025622402 : Marudi, Malaysia)

(0.0003711869368489338 : El Plumerillo, Argentina)

(0.0003699801438188037 : Sevilla, Spain)

(0.00036987040946672025 : Ciampino, Italy)

(0.00036815285846051774 : Nadzab, Papua New Guinea)

(0.0003674398271660048 : Southampton, United Kingdom)

(0.00036670673346567725 : Cambridge Bay, Canada)

(0.0003661555332906277 : Grantley Adams Intl, Barbados)

(0.0003658738646433915 : Goiabeiras, Brazil)

(0.00036520013172793464 : Bari, Italy)

(0.00036486010435657855 : Lijiang Airport, China)

(0.0003646527677166307 : Rangiroa, French Polynesia)

